Country;Year of entry;EURO;AGRICULTURE, FORESTRY AND FISHING;MINING AND QUARRYING;MANUFACTURING;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES";CONSTRUCTION;"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";TRANSPORTATION AND STORAGE;ACCOMMODATION AND FOOD SERVICE ACTIVITIES;INFORMATION AND COMMUNICATION;FINANCIAL AND INSURANCE ACTIVITIES;REAL ESTATE ACTIVITIES;PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES;ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES;"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY";EDUCATION;HUMAN HEALTH AND SOCIAL WORK ACTIVITIES;ARTS, ENTERTAINMENT AND RECREATION;OTHER SERVICE ACTIVITIES;"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE";ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES
Austria;1995;YES;3,305999953;0,101614009;16,33858733;0,649857031;0,425360966;8,039322258;14,52371387;5,09960536;5,929059243;3,098045703;3,197296595;0,808185835;5,952690408;3,634473143;6,64272042;6,893210766;10,71673323;1,569109341;2,682137203;0,165418153;0,226859182
Belgium;1958;YES;0,879640476;0,072415923;12,93476177;0,683691508;0,641093906;6,839044962;13,19460714;5,435453984;3,458925263;3,380119699;3,088326127;0,73054887;5,520649187;5,716598156;8,2468957;9,546122553;14,92193989;1,424889779;2,023386083;0,076675683;1,184213329
Bulgaria;2007;NO;6,377133887;1,010530447;19,23605206;1,268886127;0,971286546;7,897835045;17,24115377;6,566812741;5,379684741;3,195107594;2,10935967;0,398979659;3,332461247;3,528680751;7,165282229;5,808097325;4,983975407;1,530512133;1,661325136;0,336843482;0
Croatia;2013;NO;5,600444088;0,222044039;17,5168075;0,900511935;1,893542219;7,01905878;13,83457719;6,439277123;7,290445938;3,52803306;2,683032135;0,407080738;4,342194535;2,781718374;6,797014741;7,975081725;6,556467033;1,986060569;2,164929378;0,0616789;0
Cyprus;2004;YES;1,737551867;0;6,30186722;0,492738589;0,803941909;8,584024896;18,56846473;4,719917012;8,791493776;3,034232365;5,420124481;0,700207469;7,728215768;2,852697095;8,869294606;7,572614108;5,031120332;1,659751037;3,163900415;3,604771784;0,363070539
Czechia;2004;NO;2,761314393;0,617943686;27,93960475;1,006587513;1,05905443;7,33953868;11,67680379;6,247449525;3,521113076;3,249062397;2,242474884;0,835584229;4,875536814;2,440683236;6,48257904;6,538932395;6,884825402;1,770272634;1,768329415;0,709274985;0,033034725
Denmark;1973;NO;2,022315202;0,084416061;11,40350877;0,473463995;0,499155839;6,32019379;15,48484181;4,400645966;3,996916979;3,714306687;2,782059752;1,26991118;5,751302944;4,088673567;5,189752624;9,138956177;18,62291713;2,268222858;2,411363136;0,077075534;0
Estonia;2004;YES;3,139013453;0,784753363;18,67392697;0,944907111;0,576553491;9,208840487;13,22869955;7,479180013;4,356181935;4,67648943;1,969891095;1,31326073;4,596412556;3,66752082;5,909673286;8,888532992;5,845611787;2,706598334;2,033952594;0;0
Finland;1995;YES;3,278554826;0,236512662;13,40374342;0,517881173;0,403702646;7,853851486;11,65028749;5,61513681;3,445744811;4,640541532;2,022591037;0,9949843;6,883334013;4,432573502;4,689475187;7,393059577;16,67006484;2,516005383;3,03796436;0,313990947;0
France;1958;YES;2,423730811;0,058178666;11,95894792;0,770392003;0,830091679;6,75252773;12,8879053;5,358141021;3,943220664;3,107044942;3,360293251;1,303126058;5,9992471;4,145895362;9,219227098;7,310738717;14,81768784;1,736994406;2,737819555;1,186768726;0,092021157
Germany;1958;YES;1,15796755;0,155331106;19,33416866;0,782809696;0,600400267;6,747425713;13,8963491;5,038783543;3,744439713;3,171117769;3,033510655;0,466731819;5,555733343;4,90905376;7,03051727;6,757026209;13,06676776;1,290897499;2,735895271;0,472147483;0,052925813
Greece;1981;YES;11,67889052;0,296039472;9,427923723;0,81077477;0,83477797;4,008534471;18,06107481;4,851313508;9,491932258;2,576343512;2,317642352;0,130684091;5,6407521;2,304307241;8,926523536;8,003733831;6,339511935;1,38685158;2,090945459;0,765435391;0,056007468
Hungary;2004;NO;4,73665043;0,072836528;22,65898848;0,885419038;1,299676788;7,524923749;12,28888788;6,473346383;4,126644512;2,601629717;2,014385214;0,543997815;3,364137115;3,407383803;9,302590249;7,813993718;6,873947285;1,759457368;2,164610552;0,086493376;0
Ireland;1973;YES;3,82056731;0,19403123;11,17989467;0,577473898;0,480458283;6,463087868;13,54522776;4,351843297;7,964520004;5,400535896;4,36570267;0,425020789;6,024207706;4,661369306;4,799963042;7,710431488;12,79682158;2,430010164;2,420770581;0,38806246;0
Italy;1958;YES;3,591151657;0,090343438;18,60189101;0,476960209;1,082792675;6,10349638;14,12944798;4,938774606;6,330240694;2,63014548;2,787360776;0,623104006;6,244325856;4,396271119;5,394477536;6,821372423;8,085294834;1,31352273;3,03491951;3,245278005;0,078829078
Latvia;2004;YES;6,923525978;0,326911851;12,73788675;1,401050788;0,665499124;8,464681845;15,93695271;9,048453006;3,712784588;3,035610041;2,136602452;2,089900759;4,039696439;3,210741389;6,701692936;8,861646235;5,989492119;2,767075306;1,94979568;0;0
Lithuania;2004;YES;7,034148558;0,189293556;16,13538275;0,923752555;1,143333081;7,549027031;17,47558113;7,314303021;2,51381843;2,369955327;1,431059287;1,082759143;4,505186643;3,891875521;5,845385023;9,555538729;6,663133187;2,067085636;2,203376997;0,106004392;0
Luxembourg;1958;YES;1,012555691;0;4,009720535;0,486026731;0;6,358849737;7,857432159;4,212231673;4,131227217;4,2527339;12,06966383;0,85054678;9,03199676;2,511138113;11,17861482;8,262454435;11,1381126;1,417577967;1,863102471;2,065613609;7,290400972
Netherlands;1958;YES;1,94679956;0,076370461;10,31130671;0,383146722;0,387029966;5,106465601;15,69736587;4,977024141;4,955019093;3,61788881;3,241214161;0,803831467;7,98136043;5,721312536;6,371108666;7,30049835;16,70700926;2,117662287;2,15778914;0,139796777;0
Poland;2004;NO;9,459594321;1,085926;21,3436541;0,96991093;0,952446296;7,653252164;14,05715925;6,386442454;2,498066416;2,528629525;2,511164891;0,899428657;3,581497468;2,542351738;6,679598812;7,711259699;5,954816497;1,42336768;1,598014022;0,163419076;0
Portugal;1986;YES;3,773954278;0,20011746;17,71257042;0,315402519;0,780893133;6,516868597;14,55419485;4,383007417;6,819219977;2,551497618;2,401409523;0,967959454;4,285123877;3,367193788;6,917103517;9,059665456;9,505579362;1,435625258;2,244795858;2,207817632;0
Romania;2007;NO;19,80873499;0,707369328;19,97390753;1,016170152;1,208871441;8,088666531;14,82363643;6,087445691;2,635579121;2,159211959;1,335743097;0,198685801;2,586506122;2,487163222;4,861817616;4,265760213;4,927647249;0,754048522;1,534428898;0,538606087;0
Slovakia;2004;YES;2,272006344;0,420301348;24,8334655;1,225218081;0,896114195;9,452815226;12,24425059;6,816019033;4,337827121;2,585249802;2,002379064;0,60666138;2,93814433;2,410785091;8,984932593;7,240285488;7,787470262;1,41554322;1,399682791;0,130848533;0
Slovenia;2004;YES;4,379715004;0,335289187;25,4086337;0,922045264;1,309723386;5,846605197;12,57334451;5,689438391;4,515926236;3,415758592;2,493713328;0,461022632;4,662615256;2,441324392;6,066638726;8,707041073;7,198239732;2,095557418;1,47736798;0;0
Spain;1986;YES;4,169911208;0,16619022;12,70414483;0,419133825;0,781825688;6,343971946;15,5215394;5,091796579;8,845187016;3,047865919;2,259768902;0,751514265;5,035354618;5,106952291;6,979466623;6,838884331;8,351319853;2,006302686;2,354361448;3,211443085;0,013065269
Sweden;1995;NO;1,462785028;0,192579541;10,17188748;0,561348876;0,489643728;6,926717338;11,42775194;4,820634693;3,491016369;4,808342382;1,9462826;1,395177317;8,602569093;4,742783389;7,246317428;11,47487247;14,94949909;2,651041773;2,638749462;0;0
United Kingdom;1973;NO;0,91639256;0,101208665;9,065636414;0,658829483;0,798640171;7,301945672;13,00044765;4,997177835;5,489596917;4,133335928;4,213783842;1,103239326;7,407046978;4,848608705;6,655118498;10,21915569;13,40528231;2,635642318;2,711873204;0,176142004;0,160895826
Malta;2004;YES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
